0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,0
YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,1
NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,2
YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,3
NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,4
NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,5
YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,6
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,7
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,10
NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,Yes,NO,YES,11
NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,12
NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,13
YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,14
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,15
YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,17
YES,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,18
YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,19
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,20
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,21
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,22
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,23
NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,24
YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,26
YES,NO,NO,YES,No,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,27
YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,28
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,29
NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,30
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,32
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,33
NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,34
NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,35
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,36
YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,37
