0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,0
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,1
YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,2
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,3
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,4
YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,5
YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,6
YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,7
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,8
NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,10
NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,11
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,12
NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,13
YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,14
YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,15
YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,16
YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,17
NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,18
NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,19
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,20
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,21
YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,22
YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,23
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,24
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,25
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,26
YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,27
YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,28
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,29
YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,30
YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,31
YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,32
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,33
YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,34
YES,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,35
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,36
NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,37
