0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,0
YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,1
NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,2
NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,3
NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,4
YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,5
YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,6
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,7
NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,9
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,10
NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,11
YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,12
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,13
YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,14
YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,15
YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,17
YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,18
NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,19
YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,20
YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,21
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,22
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,23
YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,24
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,25
YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,26
YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,27
YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,28
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,29
YES,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,30
YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,32
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,33
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,34
NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,35
NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,36
YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,37
