0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,0
YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,1
YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,2
NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,3
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,4
YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,5
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,6
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,7
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,9
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,10
YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,Yes,NO,YES,11
YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,12
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,13
NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,14
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,15
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,17
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,18
YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,19
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,20
YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,21
YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,22
YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,23
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,24
YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,25
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,26
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,27
NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,28
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,29
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,30
YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,32
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,33
NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,34
NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,35
NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,36
YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,37
