0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,0
YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,YES,1
YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,2
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,3
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,4
YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,5
NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,6
NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,7
YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,8
NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,10
NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,11
YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,12
NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,13
YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,14
NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,15
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,17
YES,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,18
NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,19
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,20
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,21
YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,22
YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,23
NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,24
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,25
YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,26
YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,27
YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,28
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,29
NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,30
NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,31
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,32
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,33
YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,34
NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,35
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,36
YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,37
