paper_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Aafjes-van Doorn et al., 2023",1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1
"Alderfer et al., 2023",1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
"Allinson & Berle, 2023",0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"An et al., 2022",1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
"Armour et al., 2012",0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0
"Bastien et al., 2023",1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0
"Bryant et al., 2015",0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0
"Campbell-Sills et al., 2023",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chen et al., 2022",0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Cheng et al., 2019",1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0
"Dell et al., 2022",0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0
"Djelantik et al., 2022",1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0
"Dokkedahl et al., 2022",0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Elklit et al., 2023",0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0
"Feder et al., 2016",1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"Fink et al., 2017",1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Galatzer-Levy et al., 2011",1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
"Galatzer-Levy et al., 2017",1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
