paper_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,score
"Aafjes-van Doorn et al., 2023",0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,11
"Alderfer et al., 2023",1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,15
"Allinson & Berle, 2023",0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,13
"An et al., 2022",1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,11
"Armour et al., 2012",0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,10
"Bastien et al., 2023",1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,9
"Bryant et al., 2015",0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,13
"Campbell-Sills et al., 2023",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"Chen et al., 2022",1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,12
"Cheng et al., 2019",0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,13
"Dell et al., 2022",1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,11
"Djelantik et al., 2022",1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,12
"Dokkedahl et al., 2022",1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,14
"Elklit et al., 2023",1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,12
"Feder et al., 2016",1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,13
"Fink et al., 2017",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,13
"Galatzer-Levy et al., 2011",1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,10
"Galatzer-Levy et al., 2017",0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,10
"Galovski et al., 2018",1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,12
"Herd et al., 2022",1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,14
"Hiller et al., 2016",1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,10
"Hinricks et al., 2019",1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,10
"Hong et al., 2014",1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,15
"Huang et al., 2023",0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,12
"Huber et al., 2022",1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,14
"Hung et al., 2019",1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,10
"Jhone & Lee, 2022",1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,10
"Jiang et al., 2022",1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,13
"Johannesson et al., 2015",1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,14
"Jordan et al., 2023",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,18
"Karstoft et al., 2013",0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,11
"Kogan et al., 2023",1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,13
"La Greca et al., 2013",1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,15
"Lai et al., 2021",1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,12
"Le Brocque et al., 2010b",0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,8
"Le Brocque et al., 2020",1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,12
"Le Broucque et al., 2010a",0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,9
"Lenferink et al., 2020",1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,15
"Liang et al., 2019",0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,11
Lowe et al. 2021a,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,9
Lowe et al. 2021b,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,15
"Lowe et al., 2014",1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,13
"Lowe et al., 2015",1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,9
"López‐Castro et al., 2023",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"Malaju et al., 2022",1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,10
"Maslow et al., 2015",1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,12
"McDonald et al., 2019",0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,11
"McPhelson et al., 2020",0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,8
"Meijer et al., 2019",0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,11
"Meli et al., 2020",0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,9
"Miller-Graff & Howell, 2015",1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,13
"Moye et al., 2023",0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,10
"Muscara et al., 2018",1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,11
"Norris et al., 2011",1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,9
"Nugent et al., 2009",1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,12
"Orcutt et al., 2004",0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,10
"Palmer et al., 2019",1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,12
"Palmer et al., 2023",0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,15
"Pietrzak et al., 2013",1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,12
"Porter et al., 2017",0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,9
"Pozzato et al., 2020",1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,11
"Punamaki et al., 2015",0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,11
"Roberson, 2016",1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,15
"Saito et al., 2022",1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,12
"Sakuma et al., 2020",1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,11
"Sampson et al., 2015",1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,10
"Schulterbraucks et al., 2020",0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,13
"Self-Brown et al., 2013",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,8
"Self-Brown et al., 2014",1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,12
"Sharp et al., 2021",0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,12
"Shevlin et al., 2023",0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,11
"Shi et al., 2018",1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,10
"Shigemoto, 2021",0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,10
"Sigurdadottir et al., 2014",1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,13
"Solomon et al., 2018",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,15
"Steenkamp et al., 2012",0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,13
"Thormar et al., 2016",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,14
"Tomas et al., 2022",1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,15
"Truss et al., 2017",1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,11
"Van Loey et al., 2012",1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,11
"Wang et al., 2018",1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,13
"Wang et al., 2023",1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,13
"Waszczuk et al., 2020",1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,8
"Wendlandt et al., 2023",0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,8
"Zerach et al., 2021",1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,12
"Zhang et al., 2022",1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,10
"Zhou & Wu, 2021",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,16
"deRoon-Cassini et al., 2010",1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,18
"van Zuiden et al., 2022",1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,11
"van de Schoot et al., 2018",1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,10
