0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,0
YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,1
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,2
YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,3
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,4
NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,5
YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,6
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,7
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,NO,8
YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,10
NO,NO,YES,YES,Yes,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,11
NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,12
NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,13
NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,14
YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,15
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,16
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,17
YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,18
YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,19
YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,20
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,21
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,22
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,23
NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,24
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,26
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,27
YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,28
NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,29
NO,NO,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,Yes,Yes,NO,YES,30
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,31
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,32
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,33
NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,34
NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,35
NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,36
YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,37
