0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,0
YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,1
NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,2
YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,3
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,4
NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,5
YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,6
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,7
NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,8
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,9
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,10
NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,11
NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,12
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,13
NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,No,NO,YES,YES,NO,YES,NO,14
NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,15
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,17
YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,18
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,19
NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,20
NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,21
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,22
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,23
NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,24
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,26
YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,27
YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,28
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,29
NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,30
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,NO,31
NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,32
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,33
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,34
NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,35
NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,36
YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,37
