0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,0
YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,1
YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,2
NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,3
YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,4
NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,5
NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,6
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,7
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,9
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,10
NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,11
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,12
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,13
YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,14
NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,15
YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,17
YES,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,18
YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,19
NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO,20
YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,21
YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,22
NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,23
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,24
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,YES,YES,25
YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,26
YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,27
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,28
YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,29
NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,30
YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,31
YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,32
NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,33
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,YES,34
YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES,35
YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,NO,36
NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,37
