0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,0
YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,1
NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,2
NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,3
NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,4
YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,5
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,6
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,7
NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,9
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,10
NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,11
NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,12
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,13
YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,14
YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,15
YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,17
NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,18
NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,19
NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,20
YES,YES,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,21
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,22
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,23
YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,24
NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES,25
YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,26
YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,27
YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,28
YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,29
NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,30
YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,31
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,32
NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,33
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,34
NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,35
NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,36
YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,37
