0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,0
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,1
YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,2
NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,3
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,4
YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,5
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,6
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,7
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,8
NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,9
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,10
YES,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,11
NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,12
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,13
YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,14
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,15
NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,16
NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,17
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,18
YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,19
NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,20
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,21
YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,22
YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,23
NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,24
YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,26
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,27
YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,28
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,29
NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,30
YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,32
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,33
NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,34
NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,35
NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,36
YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,37
