0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,0
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,1
YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,2
NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,3
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,4
NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,5
NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,6
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,7
YES,NO,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,YES,NO,8
NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,10
NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,11
NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,12
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,13
YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,14
YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,15
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,17
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,18
YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,19
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,20
YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,21
YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,22
YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,23
NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,24
NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,YES,YES,25
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,26
YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,27
YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,28
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,29
NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,30
YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,31
YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,32
YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,33
NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,34
NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,35
NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,36
YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,37
