0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,0
YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,1
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,2
NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,3
NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,4
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,5
NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,6
NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,7
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,8
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,9
NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,10
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,11
NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,12
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,13
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,14
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,15
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,17
NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,18
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,19
NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,20
NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,21
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,22
NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,23
NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,24
NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,26
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,27
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,28
YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,29
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,30
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,32
NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,33
NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,34
NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,35
NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,36
NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,37
