0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,0
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,1
YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,2
YES,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,3
YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,4
NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,5
NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,NO,6
YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,7
YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,8
NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,9
YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,10
NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,11
NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,12
YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,13
YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,14
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,15
NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,16
YES,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,17
YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,18
YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,Proportion,YES,NO,19
NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,NO,NO,20
YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,21
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,22
YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,23
NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,24
NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,25
YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,26
YES,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,27
YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,28
YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,29
NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,absolute sample size,YES,YES,30
YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,NO,32
NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,33
NO,NO,YES,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,34
NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,35
NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,36
YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,37
