0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,Paper
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,0
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,1
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,2
NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,3
YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,4
NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,5
YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,6
NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,7
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,NO,8
NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,YES,9
YES,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,10
YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,11
NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,12
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,13
NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,14
YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,15
NO,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,16
NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,17
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,18
YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,19
NO,NO,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,20
YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,21
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,22
YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,23
NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,24
NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,25
YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,26
YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,27
NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,28
YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,29
NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,30
YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,31
YES,NO,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,32
NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,33
NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,34
NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,35
NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,36
NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,37
